"caseid","season","holiday","workday","weather","temperature","humidity","windspeed","casual","registered","rentals"
100,2,1,1,2,17.4933471679688,85.75,9.83338928222656,1188,1707,2895
101,2,1,0,2,24.4217319488525,71.6956024169922,21.7397575378418,855,2493,3348
102,2,1,0,2,20.6024990081787,73.9166946411133,18.4168930053711,257,1777,2034
103,2,1,0,2,16.9125003814697,81.9167022705078,16.7913379669189,209,1953,2162
104,2,1,0,1,19.1674995422363,54.0417022705078,7.41689968109131,529,2738,3267
105,2,0,1,1,18.313346862793,67.125,15.16712474823,642,2484,3126
106,2,1,1,3,17.6641540527344,88.8333053588867,22.8341369628906,121,674,795
107,2,1,1,1,18.7233467102051,47.9582977294922,20.3342323303223,1558,2186,3744
108,2,1,0,1,21.0124988555908,54.25,10.9589891433716,669,2760,3429
109,2,1,0,2,20.7391548156738,66.5832977294922,10.584056854248,409,2795,3204
110,2,1,0,1,24.3950004577637,61.4166984558105,16.2089748382568,613,3331,3944
111,2,1,0,1,18.8258476257324,40.7083015441895,21.7922859191895,745,3444,4189
112,2,1,0,2,13.8033466339111,72.9583053588867,14.7079067230225,177,1506,1683
113,2,1,1,2,18.8600006103516,88.7916946411133,15.4585752487183,1462,2574,4036
114,2,1,1,2,23.8483467102051,81.0832977294922,12.8757247924805,1710,2481,4191
115,2,1,0,1,24.8733463287354,77.6667022705078,12.4173107147217,773,3300,4073
116,2,1,0,1,25.8983478546143,72.9167022705078,21.8754997253418,678,3722,4400
117,2,1,0,2,25.4200000762939,83.5416946411133,20.9174003601074,547,3325,3872
118,2,1,0,2,25.3175010681152,70.0833053588867,21.5008373260498,569,3489,4058
119,2,1,0,1,20.9099998474121,45.7082977294922,16.0842208862305,878,3717,4595
120,2,1,1,1,19.3724994659424,50.3332977294922,15.7500247955322,1965,3347,5312
121,2,1,1,2,18.518346786499,76.2082977294922,7.12571811676025,1138,2213,3351
122,2,1,0,2,22.5158462524414,73,12.2914180755615,847,3554,4401
123,2,1,0,2,25.2833461761475,69.7082977294922,22.9586906433105,603,3848,4451
124,2,1,0,2,16.9808464050293,73.7083053588867,22.0427322387695,255,2378,2633
125,2,1,0,1,18.8258476257324,44.4166984558105,19.7912635803223,614,3819,4433
126,2,1,0,1,19.6458473205566,58.9999961853027,15.2924823760986,894,3714,4608
127,2,1,1,1,21.3199996948242,54.125,10.7501497268677,1612,3102,4714
128,2,1,1,1,21.6616535186768,63.1667022705078,5.00071287155151,1401,2932,4333
129,2,1,0,1,21.8325004577637,58.875,11.7919998168945,664,3698,4362
130,2,1,0,1,21.8325004577637,48.9167022705078,7.74995708465576,694,4109,4803
131,2,1,0,1,22.2425003051758,63.2916984558105,8.0830135345459,550,3632,4182
132,2,1,0,1,21.935001373291,74.75,12.7076892852783,695,4169,4864
133,2,1,0,2,21.0124988555908,86.3332977294922,12.0415754318237,692,3413,4105
134,2,1,1,2,21.3541526794434,92.25,9.04164981842041,902,2507,3409
135,2,1,1,2,23.0625,86.7082977294922,10.2495927810669,1582,2971,4553
136,2,1,0,1,23.6774997711182,78.7917022705078,8.50035762786865,773,3185,3958
137,2,1,0,2,23.0283489227295,83.7916946411133,18.5827178955078,678,3445,4123
138,2,1,0,2,22.5500011444092,87,13.499963760376,536,3319,3855
139,2,1,0,2,21.7641525268555,82.9582977294922,7.25027084350586,735,3840,4575
140,2,1,0,1,22.0033473968506,71.9582977294922,8.37587070465088,909,4008,4917
141,2,1,1,1,24.7025012969971,62.6667022705078,8.08355045318604,2258,3547,5805
142,2,1,1,1,24.7708473205566,74.9582977294922,9.91653633117676,1576,3084,4660
143,2,1,0,2,25.8983478546143,81,15.6674137115479,836,3438,4274
144,2,1,0,2,27.060001373291,74.0832977294922,13.8751640319824,659,3833,4492
145,2,1,0,1,27.0941524505615,69.625,10.333610534668,740,4238,4978
146,2,1,0,1,29.0416526794434,67.75,13.3760137557983,758,3919,4677
147,2,1,0,1,27.9483451843262,65.375,16.1254920959473,871,3808,4679
148,2,1,1,1,26.8891525268555,72.9583053588867,15.4161643981934,2001,2757,4758
149,2,1,1,1,27.3675003051758,81.875,14.3338460922241,2355,2433,4788
150,2,0,1,1,30.0666522979736,68.5,8.79207515716553,1549,2549,4098
151,2,1,0,1,31.7749996185303,63.6667022705078,7.4590425491333,673,3309,3982
152,2,1,0,2,31.330846786499,67.7082977294922,13.8751640319824,513,3461,3974
153,2,1,0,1,29.314998626709,30.5,19.5832290649414,736,4232,4968
154,2,1,0,1,25.4200000762939,35.4167022705078,16.9591064453125,898,4414,5312
155,2,1,1,1,26.0349998474121,45.625,8.25051403045654,1869,3473,5342
156,2,1,1,2,26.5816535949707,65.25,9.2923641204834,1685,3221,4906
157,2,1,0,1,27.811653137207,60.0000038146973,8.16703224182129,673,3875,4548
158,2,1,0,1,29.0074996948242,59.7917022705078,12.5831365585327,763,4070,4833
159,2,1,0,1,31.8091526031494,62.2083015441895,9.16673851013184,676,3725,4401
160,2,1,0,2,33.1416511535645,56.8333015441895,10.042160987854,563,3352,3915
161,2,1,0,1,30.9549999237061,60.5,9.41711807250977,815,3771,4586
162,2,1,1,1,29.7250003814697,65.4582977294922,10.3749504089355,1729,3237,4966
163,2,1,1,1,28.3924999237061,74.7917022705078,10.9589891433716,1467,2993,4460
164,2,1,0,1,26.0349998474121,49.4583015441895,20.4584503173828,863,4157,5020
165,2,1,0,1,24.7708473205566,50.7083015441895,18.0419616699219,727,4164,4891
166,2,1,0,1,25.6933479309082,47.1666984558105,11.2501049041748,769,4411,5180
167,2,1,0,2,25.7616519927979,68.8332977294922,13.8335571289062,545,3222,3767
168,2,1,0,1,26.6158466339111,73.5832977294922,9.58294296264648,863,3981,4844
169,2,1,1,1,28.563346862793,67.0417022705078,8.00033569335938,1807,3312,5119
170,2,1,1,2,28.6658477783203,66.6667022705078,6.83399963378906,1639,3105,4744
171,2,1,0,2,26.0349998474121,74.625,10.4168252944946,699,3311,4010
172,3,1,0,2,27.9141521453857,77.0416946411133,11.4586744308472,774,4061,4835
173,3,1,0,1,30.0666522979736,70.75,11.5415534973145,661,3846,4507
174,3,1,0,2,29.8616523742676,70.3333053588867,15.99986743927,746,4044,4790
175,3,1,0,1,29.6908473968506,57.3333015441895,14.875675201416,969,4022,4991
176,3,1,1,1,28.4949989318848,48.3332977294922,14.0412569046021,1782,3420,5202
177,3,1,1,1,27.8800010681152,51.3333015441895,6.33373117446899,1920,3385,5305
178,3,1,0,2,27.9825000762939,65.8332977294922,7.20839595794678,854,3854,4708
179,3,1,0,1,30.5108451843262,63.4167022705078,9.66696071624756,732,3916,4648
180,3,1,0,1,29.8616523742676,49.7916984558105,17.5420074462891,848,4377,5225
181,3,1,0,1,28.563346862793,43.4166984558105,12.415904045105,1027,4488,5515
182,3,1,0,1,29.622501373291,39.625,6.87473630905151,1246,4116,5362
183,3,1,1,1,30.2716522216797,44.4583015441895,7.70915412902832,2204,2915,5119
184,3,1,1,2,29.3833465576172,68.25,15.3334856033325,2282,2367,4649
185,3,0,1,2,29.7933464050293,63.7916984558105,5.4591064453125,3065,2978,6043
186,3,1,0,1,30.6133480072021,59.0417022705078,8.45928573608398,1031,3634,4665
187,3,1,0,1,29.5200004577637,74.3332977294922,10.042160987854,784,3845,4629
188,3,1,0,1,30.75,65.125,10.6663999557495,754,3838,4592
189,3,1,0,2,29.0758476257324,75.7917022705078,15.0836429595947,692,3348,4040
190,3,1,1,1,30.0666522979736,60.9166984558105,11.2501049041748,1988,3348,5336
191,3,1,1,1,30.6475009918213,57.8333015441895,12.2925567626953,1743,3138,4881
192,3,1,0,1,31.2624988555908,63.5833015441895,18.9165802001953,723,3363,4086
193,3,1,0,1,32.5608444213867,55.9167022705078,13.4170179367065,662,3596,4258
194,3,1,0,1,30.6133480072021,63.1667022705078,9.79091167449951,748,3594,4342
195,3,1,0,1,27.9141521453857,47.625,16.1246891021729,888,4196,5084
196,3,1,0,1,27.1966533660889,59.125,12.2498111724854,1318,4220,5538
197,3,1,1,1,28.1533489227295,58.4999961853027,13.9589138031006,2418,3505,5923
198,3,1,1,1,29.4858474731445,60.4166984558105,16.4172115325928,2006,3296,5302
199,3,1,0,1,30.6133480072021,65.125,14.4588680267334,841,3617,4458
200,3,1,0,1,31.8433475494385,65.0416946411133,8.75020027160645,752,3789,4541
201,3,1,0,1,31.5016536712646,70.7082977294922,7.62573909759521,644,3688,4332
202,3,1,0,2,33.4150009155273,69.125,14.8754072189331,632,3152,3784
203,3,1,0,1,34.7816543579102,58.0416984558105,8.91769981384277,562,2825,3387
204,3,1,1,1,34.815845489502,50,8.79180717468262,987,2298,3285
205,3,1,1,1,34.0299987792969,55.0832977294922,11.3344573974609,1050,2556,3606
206,3,1,0,1,30.4766521453857,75.7082977294922,6.08415603637695,568,3272,3840
207,3,1,0,1,31.6383476257324,54.0832977294922,13.4172859191895,750,3840,4590
208,3,1,0,1,31.7749996185303,40.2916984558105,12.2920217514038,755,3901,4656
209,3,1,0,1,31.9458465576172,58.3333015441895,11.9580926895142,606,3784,4390
210,3,1,0,1,34.371654510498,54.25,11.6672458648682,670,3176,3846
211,3,1,1,1,32.9708442687988,46.5833015441895,11.2919797897339,1559,2916,4475
212,3,1,1,1,33.0391540527344,48.0832977294922,11.0424709320068,1524,2778,4302
213,3,1,0,1,31.6383476257324,55.0832977294922,10.500039100647,729,3537,4266
214,3,1,0,1,32.1166534423828,49.125,13.7919502258301,801,4044,4845
215,3,1,0,2,29.9983463287354,65.75,9.08406066894531,467,3107,3574
216,3,1,0,2,29.1099987030029,75.75,13.2090501785278,799,3777,4576
217,3,1,0,1,29.1441535949707,63.0833015441895,12.3746318817139,1023,3843,4866
218,3,1,1,2,29.3833465576172,75.5,15.2927494049072,1521,2773,4294
219,3,1,1,1,30.4425010681152,75.2917022705078,13.4996290206909,1298,2487,3785
220,3,1,0,1,31.3649997711182,59.2082977294922,12.8757247924805,846,3480,4326
221,3,1,0,1,31.7749996185303,57.0416984558105,10.1251077651978,907,3695,4602
222,3,1,0,1,31.4333477020264,42.4167022705078,13.4172859191895,884,3896,4780
223,3,1,0,1,29.4174995422363,42.375,11.0413312911987,812,3980,4792
224,3,1,0,1,29.0416526794434,41.5,8.41660785675049,1051,3854,4905
225,3,1,1,2,28.1191520690918,72.9583053588867,14.1674184799194,1504,2646,4150
226,3,1,1,2,27.7433452606201,81.75,14.9164113998413,1338,2482,3820
227,3,1,0,1,27.2991523742676,71.2082977294922,13.9999179840088,775,3563,4338
228,3,1,0,1,28.7341537475586,57.8333015441895,15.8340435028076,721,4004,4725
229,3,1,0,1,29.6566524505615,57.5416984558105,9.62568855285645,668,4026,4694
230,3,1,0,1,29.1783466339111,65.4582977294922,15.6249361038208,639,3166,3805
231,3,1,0,2,28.0850009918213,72.2917022705078,9.33363628387451,797,3356,4153
232,3,1,1,1,28.5974998474121,67.4166946411133,6.99928903579712,1914,3277,5191
233,3,1,1,1,29.1441535949707,77,16.6665172576904,1249,2624,3873
234,3,1,0,1,28.3583469390869,47,18.5422496795654,833,3925,4758
235,3,1,0,1,26.2741546630859,45.5417022705078,9.83312034606934,1281,4614,5895
236,3,1,0,1,27.606653213501,60.5,16.9582347869873,949,4181,5130
237,3,1,0,2,28.0508480072021,77.1667022705078,14.1258106231689,435,3107,3542
238,3,1,0,1,28.6999988555908,76.125,5.62548732757568,768,3893,4661
239,3,1,1,2,27.8800010681152,85,25.1663379669189,226,889,1115
240,3,1,1,1,28.9894199371338,56.1765022277832,20.4121532440186,1415,2919,4334
241,3,1,0,1,26.1033477783203,55.4583015441895,10.7082748413086,729,3905,4634
242,3,1,0,1,26.205846786499,54.8332977294922,8.37553596496582,775,4429,5204
243,3,1,0,1,26.9233474731445,59.7917022705078,5.58333110809326,688,4370,5058
244,3,1,0,1,26.8549995422363,63.9167022705078,9.50033187866211,783,4332,5115
245,3,1,0,2,26.3766536712646,72.7083053588867,9.37524318695068,875,3852,4727
246,3,1,1,1,27.4358463287354,71.6667022705078,12.4167747497559,1935,2549,4484
247,3,1,1,1,29.0758476257324,74.2082977294922,13.8332891464233,2521,2419,4940
248,3,0,1,2,27.606653213501,79.0417022705078,14.2506322860718,1236,2115,3351
249,3,1,0,3,22.1400012969971,88.6957015991211,23.0441818237305,204,2506,2710
250,3,1,0,3,24.5658473968506,91.7083053588867,6.50039339065552,118,1878,1996
251,3,1,0,3,25.9904327392578,93.9564971923828,12.9141159057617,153,1689,1842
252,3,1,0,2,26.6499996185303,89.7916946411133,8.33339309692383,417,3127,3544
253,3,1,1,1,27.060001373291,75.375,10.2917356491089,1750,3595,5345
254,3,1,1,1,26.7866535186768,71.375,7.70861768722534,1633,3413,5046
255,3,1,0,1,26.4182682037354,69.217399597168,5.95717096328735,690,4023,4713
256,3,1,0,1,26.6841526031494,71.25,9.50086784362793,701,4062,4763
257,3,1,0,1,27.606653213501,69.7082977294922,11.2090997695923,647,4138,4785
258,3,1,0,2,23.6774997711182,70.9167022705078,18.1667823791504,428,3231,3659
259,3,1,0,2,19.2358474731445,59.0417022705078,11.0002613067627,742,4018,4760
260,3,1,1,2,20.1583461761475,71.8332977294922,12.7082252502441,1434,3077,4511
261,3,1,1,1,20.8074989318848,69.5,11.9583606719971,1353,2921,4274
262,3,1,0,2,22.5158462524414,69,10.1667137145996,691,3848,4539
263,3,1,0,2,23.0283489227295,88.125,9.04191875457764,438,3203,3641
264,3,1,0,2,24.3950004577637,90,6.45908164978027,539,3813,4352
265,3,1,0,2,25.7616519927979,90.2082977294922,8.58437442779541,555,4240,4795
266,4,1,0,2,24.9758453369141,97.25,5.25056886672974,258,2137,2395
267,4,1,1,2,24.8733463287354,86.25,5.25168085098267,1776,3647,5423
268,4,1,1,2,26.000846862793,84.5,3.37540650367737,1544,3466,5010
269,4,1,0,2,26.6158466339111,84.8332977294922,7.41689968109131,684,3946,4630
270,4,1,0,2,26.1033477783203,88.5417022705078,7.91745710372925,477,3643,4120
271,4,1,0,2,26.0349998474121,84.875,9.95814228057861,480,3427,3907
272,4,1,0,1,25.2833461761475,69.9167022705078,11.5831613540649,653,4186,4839
273,4,1,0,1,23.1308479309082,64.75,13.8338251113892,830,4372,5202
274,4,1,1,2,16.8099994659424,75.375,19.5838317871094,480,1949,2429
275,4,1,1,2,14.6233472824097,79.1667022705078,14.874870300293,616,2302,2918
276,4,1,0,2,15.750846862793,76.0833053588867,5.58416843414307,330,3240,3570
277,4,1,0,1,19.8508472442627,71,13.792218208313,486,3970,4456
278,4,1,0,1,22.0716533660889,64.7916946411133,11.8757495880127,559,4267,4826
279,4,1,0,1,20.2608470916748,62.0832977294922,9.04191875457764,639,4126,4765
280,4,1,0,1,20.9441547393799,68.4167022705078,1.50024390220642,949,4036,4985
281,4,1,1,1,21.3883476257324,70.125,3.04208135604858,2235,3174,5409
282,4,1,1,1,22.1741523742676,72.75,4.25115013122559,2397,3114,5511
283,4,0,1,1,23.4041538238525,73.375,2.8343813419342,1514,3603,5117
284,4,1,0,2,23.2333469390869,80.875,9.58381366729736,667,3896,4563
285,4,1,0,3,22.2766532897949,90.625,16.6260509490967,217,2199,2416
286,4,1,0,2,24.1558475494385,89.6667022705078,9.49972820281982,290,2623,2913
287,4,1,0,2,22.5841522216797,71.625,15.0001611709595,529,3115,3644
288,4,1,1,1,20.7733478546143,48.3332977294922,17.2915592193604,1899,3318,5217
289,4,1,1,1,20.9783477783203,48.6667022705078,18.8750400543213,1748,3293,5041
290,4,1,0,1,21.9008464813232,57.9582977294922,11.7503929138184,713,3857,4570
291,4,1,0,2,21.8325004577637,70.1667022705078,7.37582921981812,637,4111,4748
292,4,1,0,3,22.2112979888916,89.5216979980469,16.3037128448486,254,2170,2424
293,4,1,0,1,19.5091533660889,63.625,28.2924251556396,471,3724,4195
294,4,1,0,1,17.5275001525879,57.4167022705078,14.833532333374,676,3628,4304
295,4,1,1,1,17.3225002288818,62.9167022705078,6.20866870880127,1499,2809,4308
296,4,1,1,1,17.2883472442627,74.125,6.6673378944397,1619,2762,4381
297,4,1,0,1,18.9966526031494,77.2082977294922,7.95906400680542,699,3488,4187
298,4,1,0,1,19.3383464813232,62.2916984558105,11.1660861968994,695,3992,4687
299,4,1,0,2,19.8508472442627,72.0417022705078,9.95901393890381,404,3490,3894
300,4,1,0,2,19.2700004577637,81.2917022705078,13.2501211166382,240,2419,2659
301,4,1,0,2,13.5641527175903,58.5833015441895,15.375093460083,456,3291,3747
302,4,1,1,3,10.4208469390869,88.25,23.5418567657471,57,570,627
303,4,1,1,1,13.0858469009399,62.3749961853027,11.8333387374878,885,2446,3331
304,4,1,0,1,13.9400005340576,70.3333053588867,7.12544965744019,362,3307,3669
305,4,1,0,1,16.4341526031494,68.375,9.0832576751709,410,3658,4068
306,4,1,0,1,15.477499961853,71.875,5.50014352798462,370,3816,4186
307,4,1,0,1,16.7416534423828,70.2082977294922,9.16673851013184,318,3656,3974
308,4,1,0,2,16.5366535186768,62.25,18.209192276001,470,3576,4046
309,4,1,1,1,13.3933477401733,51.9167022705078,12.6671543121338,1156,2770,3926
310,4,1,1,1,14.2816534042358,73.4583053588867,6.16763162612915,952,2697,3649
311,4,1,0,1,16.1949996948242,75.875,3.83407497406006,373,3662,4035
312,4,1,0,1,16.7416534423828,72.1667022705078,4.62551212310791,376,3829,4205
313,4,1,0,1,16.3999996185303,75.8333053588867,4.16711854934692,305,3804,4109
314,4,1,0,2,15.5799999237061,81.3332977294922,12.6674890518188,190,2743,2933
315,4,0,1,1,13.2908477783203,44.625,21.0832252502441,440,2928,3368
316,4,1,1,1,14.6233472824097,55.2917022705078,14.2081537246704,1275,2792,4067
317,4,1,1,1,18.0741539001465,45.8332977294922,18.8753070831299,1004,2713,3717
318,4,1,0,1,21.7299995422363,58.7082977294922,20.5419330596924,595,3891,4486
319,4,1,0,2,21.7299995422363,68.875,13.3754110336304,449,3746,4195
320,4,1,0,3,18.7233467102051,93,9.16754341125488,145,1672,1817
321,4,1,0,2,14.0083465576172,57.5833015441895,20.4592533111572,139,2914,3053
322,4,1,0,1,11.2408466339111,41,11.2917108535767,245,3147,3392
323,4,1,1,1,13.4958477020264,50.2083015441895,15.0412321090698,943,2720,3663
324,4,1,1,2,18.9966526031494,68.4582977294922,12.4586496353149,787,2733,3520
325,4,1,0,3,18.3474998474121,91,9.24961757659912,220,2545,2765
326,4,1,0,3,17.0833473205566,96.25,7.95906400680542,69,1538,1607
327,4,1,0,2,18.0741539001465,75.7917022705078,22.5002746582031,112,2454,2566
328,4,0,1,1,15.3066530227661,54.9166984558105,11.2093677520752,560,935,1495
329,4,1,0,1,15.375,64.375,6.62601900100708,1095,1697,2792
330,4,1,1,1,15.4091529846191,68.1666946411133,4.58419322967529,1249,1819,3068
331,4,1,1,1,18.8258476257324,69.8333053588867,13.9999179840088,810,2261,3071
332,4,1,0,1,20.6425971984863,74.3042984008789,9.52217388153076,253,3614,3867
333,4,1,0,2,18.7916526794434,83.0833053588867,17.292163848877,96,2818,2914
334,4,1,0,1,13.3249998092651,61.3332977294922,18.1675872802734,188,3425,3613
335,4,1,0,1,12.8125,52.4582977294922,14.7505855560303,182,3545,3727
336,4,1,0,1,12.8808469772339,62.5832977294922,6.75051784515381,268,3672,3940
337,4,1,1,1,12.2658472061157,61.2917022705078,6.41748094558716,706,2908,3614
338,4,1,1,1,13.5641527175903,77.5832977294922,5.62520599365234,634,2851,3485
339,4,1,0,2,15.8191528320312,82.7082977294922,4.16795587539673,233,3578,3811
340,4,1,0,3,18.9624996185303,94.9582977294922,15.5830612182617,126,2468,2594
341,4,1,0,3,16.8099994659424,97.0417022705078,17.8337249755859,50,655,705
342,4,1,0,1,10.8991527557373,58,16.0838871002197,150,3172,3322
