"id","female","age","cohort","race","latinx","ethnic","educate","childs","marital","sei","occprest","attend","relig","fund","owngun","legalmarij","cappunish","partyaff","polviews","spanking","lifesatis","volunteer","confidence","civliberty","watchtv","pincome","fincome"
21,"female",34,1984,"White","no","White",15,1,1,58.2,38,2,1,"liberal","no",NA,"no",6,6,3,NA,1,0,5,1,170,120
22,"female",29,1989,"other","yes","Latinx",14,0,4,34.13,38,7,1,"fundamentalist","no","no","no",6,6,NA,66.38,1,0,2,NA,0,100
23,"female",40,1978,"White","no","White",14,1,1,84.2,64,1,2,"moderate","no","yes","yes",3,4,3,NA,1,1,0,5,220,120
24,"male",37,1981,"White","no","White",12,0,4,19.2,35,0,5,"none","yes",NA,"yes",1,1,4,NA,1,0,10,1,180,120
25,"female",56,1962,"White","no","White",16,3,1,62.9,54,6,1,"moderate","no",NA,"no",6,6,3,NA,1,2,9,2,120,120
26,"male",82,1936,"White","no","White",8,2,2,36.4,44,2,2,"moderate","no","yes","yes",6,4,NA,82.5,1,9,3,NA,0,120
27,"female",68,1950,"White","no","White",12,3,3,25.7,38,5,2,"moderate","no",NA,"yes",2,4,2,NA,1,0,10,2,170,120
28,"female",42,1976,"AfricanAmerican","no","AfricanAmerican",9,5,4,37.6,39,6,1,"fundamentalist","no","yes","yes",2,4,NA,70.24,1,0,6,NA,0,90
29,"female",40,1978,"White","no","White",12,3,3,24.2,48,3,2,"moderate","no","no","yes",7,7,3,NA,1,8,0,3,0,120
30,"male",20,1998,"White","no","White",14,0,4,19.6,31,1,2,"moderate","no","no","no",5,2,NA,89.18,2,10,7,NA,100,120
31,"female",74,1944,"White","no","White",12,2,1,84.2,64,2,2,"moderate","no","no","yes",5,7,2,78.16,1,1,0,5,0,110
32,"male",89,1929,"White","no","White",8,7,1,46.6,45,8,2,"moderate","no","no","no",7,4,NA,82.73,5,7,12,NA,0,120
33,"female",60,1958,"White","no","White",16,2,1,76.3,60,3,1,"moderate","no","yes","no",4,4,3,NA,1,5,0,3,0,110
34,"female",56,1962,"White","no","White",16,0,3,71.8,64,0,6,"liberal","no",NA,"no",2,1,4,NA,1,0,12,3,230,120
35,"female",55,1963,"White","yes","Latinx",10,3,3,21.8,35,7,1,"fundamentalist","no","no","no",3,6,4,NA,1,3,0,2,60,100
36,"male",65,1953,"White","no","White",18,5,1,87.9,60,3,3,"liberal","no","no","yes",7,7,NA,80.82,4,7,12,NA,220,120
37,"female",71,1947,"White","no","White",20,1,2,67.7,39,6,3,"liberal","no",NA,"no",1,4,3,NA,1,0,12,2,80,120
38,"male",34,1984,"White","no","White",20,0,4,85.8,73,0,6,"liberal","no","yes","no",1,1,NA,83.62,1,3,12,NA,180,120
39,"male",45,1973,"White","yes","Latinx",19,1,1,64.2,53,7,1,"liberal","no","yes","no",5,5,2,NA,1,4,0,1,180,120
41,"female",65,1953,"White","no","White",12,2,3,31.6,35,2,6,"liberal","no","yes","no",1,3,3,68.88,2,1,0,2,100,90
42,"male",52,1966,"White","no","White",12,0,4,35.3,42,0,2,"moderate","no",NA,"yes",2,4,2,NA,1,0,6,5,170,120
43,"female",62,1956,"White","no","White",12,1,2,20.7,24,2,2,"moderate","no","yes","yes",1,4,3,73.99,1,0,0,7,0,120
44,"male",60,1958,"other","no","Other",18,0,1,75.6,57,2,5,"none","no","yes","no",1,4,NA,77.77,3,7,10,NA,150,120
45,"female",62,1956,"White","no","White",16,2,3,51.5,48,3,4,"none","no","yes","no",3,2,NA,66.34,3,3,12,NA,200,120
46,"female",46,1972,"White","yes","Latinx",12,3,2,24.2,48,0,2,"moderate","no","no","no",2,5,3,64.35,1,1,0,5,160,120
47,"male",40,1978,"White","yes","Latinx",18,2,1,50,45,0,2,"moderate","no","yes","no",2,3,2,NA,1,8,0,2,210,120
48,"female",53,1965,"White","yes","Latinx",18,3,1,80.7,65,7,2,"moderate","no","yes","yes",2,3,4,80.56,4,5,0,3,0,110
49,"male",75,1943,"White","no","White",17,1,3,69.3,53,7,1,"liberal","no","no","yes",6,6,2,NA,1,6,0,0,0,120
50,"female",67,1951,"White","no","White",16,2,3,24.2,48,3,5,"none","no",NA,"no",3,4,2,NA,1,0,10,2,0,120
51,"male",22,1996,"White","no","White",14,0,4,57.8,47,2,2,"moderate","no","yes","no",4,4,NA,71.81,1,1,12,NA,130,110
52,"female",42,1976,"White","yes","Latinx",12,3,3,73.9,53,3,1,"fundamentalist","no",NA,"no",2,4,2,NA,1,0,3,2,150,120
53,"female",59,1959,"White","no","White",18,2,3,24.2,48,3,3,"liberal","no","no","yes",4,4,3,NA,1,4,0,10,210,120
54,"female",33,1985,"other","no","Other",18,1,1,92.8,80,3,5,"none","no","no","no",4,4,NA,71.86,2,5,5,NA,190,120
55,"male",46,1972,"White","no","White",16,2,1,87.9,60,2,6,"liberal","no","yes","no",4,3,3,83.13,1,1,0,1,260,130
56,"male",55,1963,"White","no","White",14,1,3,92,66,1,2,"moderate","no","yes","yes",6,4,NA,79.04,1,1,8,NA,240,120
57,"female",43,1975,"White","yes","Latinx",16,2,1,63.7,33,4,2,"moderate","no","yes","no",4,4,2,NA,1,1,0,1,0,120
58,"female",45,1973,"AfricanAmerican","no","AfricanAmerican",14,2,4,35.8,32,0,1,"moderate","no",NA,"yes",3,4,4,NA,1,0,6,0,80,80
59,"male",23,1995,"White","yes","Latinx",11,0,4,23.3,25,3,2,"moderate","no","yes","no",2,6,NA,60.15,2,7,8,NA,200,120
60,"female",28,1990,"AfricanAmerican","no","AfricanAmerican",9,2,3,39.7,31,0,6,"liberal","no","yes","no",2,4,2,37.19,1,1,0,8,60,70
61,"female",27,1991,"AfricanAmerican","no","AfricanAmerican",13,1,1,12.6,25,2,5,"none","no",NA,"no",1,2,2,NA,1,2,4,10,30,50
62,"female",42,1976,"AfricanAmerican","no","AfricanAmerican",10,3,1,21.8,35,2,1,"fundamentalist","no","yes","no",1,1,2,NA,1,4,0,8,130,120
63,"female",41,1977,"AfricanAmerican","no","AfricanAmerican",16,0,4,61.2,43,7,1,"moderate","no",NA,"no",1,4,2,NA,1,1,10,4,190,120
64,"female",64,1954,"AfricanAmerican","no","AfricanAmerican",13,1,2,24.2,48,8,1,"fundamentalist","no",NA,"yes",1,4,3,NA,1,1,4,5,0,120
65,"male",53,1965,"AfricanAmerican","no","AfricanAmerican",12,4,4,25,35,0,6,"liberal","no","no","no",5,4,3,86.58,1,1,0,3,0,100
66,"male",79,1939,"AfricanAmerican","no","AfricanAmerican",20,4,3,76.3,60,3,1,"fundamentalist","no",NA,"no",3,2,2,NA,1,0,12,1,0,110
67,"male",34,1984,"White","no","White",14,3,1,31.6,35,1,1,"fundamentalist","no",NA,"yes",2,6,1,NA,1,0,10,1,190,120
68,"female",59,1959,"AfricanAmerican","no","AfricanAmerican",14,3,3,38.8,47,8,1,"moderate","no","yes","no",1,4,NA,90.81,3,1,1,NA,0,120
69,"female",32,1986,"AfricanAmerican","yes","Latinx",19,0,4,71,58,6,1,"fundamentalist","no",NA,"no",1,3,3,NA,1,1,11,0,240,120
70,"female",33,1985,"AfricanAmerican","no","AfricanAmerican",16,3,1,62.9,54,0,1,"moderate","no","no","no",2,1,3,NA,1,3,0,4,0,100
71,"male",35,1983,"White","yes","Latinx",15,0,4,44.19,43,3,2,"moderate","no","no","yes",1,4,3,91.87,3,9,0,5,0,80
72,"male",37,1981,"AfricanAmerican","no","AfricanAmerican",16,0,1,41,39,1,1,"moderate","no","no","no",1,2,2,70.38,1,0,0,2,200,120
73,"female",28,1990,"other","yes","Latinx",16,0,1,21.6,28,0,6,"liberal","no",NA,"yes",4,3,1,NA,1,1,11,5,0,120
74,"female",42,1976,"White","no","White",20,2,1,81,63,4,2,"moderate","no","yes","no",2,2,NA,78.21,5,5,12,NA,160,120
75,"male",21,1997,"White","no","White",14,0,4,50,45,0,6,"liberal","no","yes","no",4,2,NA,79.33,3,6,11,NA,70,120
76,"female",33,1985,"AfricanAmerican","no","AfricanAmerican",14,2,4,35.8,32,0,1,"moderate","no",NA,"yes",4,6,3,NA,1,0,5,1,170,110
77,"female",37,1981,"White","yes","Latinx",16,2,1,75.6,57,3,2,"moderate","no","no","yes",4,4,NA,82.67,3,0,7,NA,240,130
78,"female",89,1929,"White","no","White",8,3,2,18.6,37,3,2,"moderate","no","no","no",4,4,NA,76.62,1,2,0,2,0,120
79,"female",47,1971,"other","no","Other",14,1,1,60.3,52,0,6,"none","yes","no","yes",4,4,NA,79.21,2,2,5,NA,0,110
81,"female",71,1947,"AfricanAmerican","no","AfricanAmerican",16,0,1,73.9,59,0,1,"liberal","no",NA,"no",3,2,3,NA,1,0,11,5,0,120
83,"female",37,1981,"other","yes","Latinx",12,1,3,28.7,51,1,2,"moderate","no","yes","no",2,4,2,NA,1,0,0,2,110,120
84,"female",40,1978,"White","no","White",13,4,1,27,38,5,2,"moderate","no",NA,"no",2,7,1,NA,1,2,6,1,180,120
85,"male",70,1948,"White","yes","Latinx",12,4,3,31.6,35,0,2,"moderate","yes","yes","yes",6,6,NA,91.33,1,3,7,NA,130,120
86,"male",28,1990,"AfricanAmerican","no","AfricanAmerican",17,0,4,65.3,60,0,6,"liberal","no","no","no",2,3,2,NA,1,0,0,0,180,120
87,"female",53,1965,"other","yes","Latinx",13,2,4,12.6,25,7,1,"moderate","no","no","no",1,2,4,72,2,1,0,3,10,120
88,"male",46,1972,"White","no","White",16,2,1,23.3,25,0,6,"liberal","no","yes","no",1,1,NA,67.36,1,3,12,NA,260,130
89,"male",55,1963,"White","no","White",18,0,1,77.2,55,3,1,"moderate","no","yes","yes",1,2,2,80.27,2,4,0,3,190,120
90,"male",28,1990,"other","no","Other",18,0,4,73.6,67,7,4,"none","no","yes","yes",2,4,3,NA,1,2,0,2,80,80
91,"male",42,1976,"White","no","White",16,0,4,91.1,75,0,6,"liberal","no","yes","yes",3,4,2,58.7,3,0,0,1,220,120
92,"female",77,1941,"White","no","White",19,0,1,73.4,51,7,1,"liberal","no",NA,"no",1,1,4,NA,1,1,12,4,120,120
93,"male",29,1989,"other","no","Other",16,0,4,92.1,72,3,5,"none","no","yes","no",4,3,4,89.27,1,3,0,1,170,110
94,"female",62,1956,"AfricanAmerican","no","AfricanAmerican",12,1,2,21.8,35,7,6,"liberal","no","no","yes",3,2,3,NA,1,2,0,3,0,100
95,"female",30,1988,"AfricanAmerican","no","AfricanAmerican",16,2,4,38.19,41,3,1,"moderate","yes",NA,"no",3,2,2,NA,1,0,8,5,220,120
96,"male",22,1996,"AfricanAmerican","no","AfricanAmerican",14,0,4,23.7,35,3,1,"fundamentalist","no","no","yes",2,2,NA,69.19,1,3,7,NA,110,100
97,"female",69,1949,"AfricanAmerican","no","AfricanAmerican",13,1,1,39.6,42,3,1,"fundamentalist","no","yes","no",1,2,NA,65.69,2,1,10,NA,0,120
98,"male",45,1973,"AfricanAmerican","no","AfricanAmerican",16,0,3,62.9,54,3,2,"moderate","no",NA,"yes",1,5,1,NA,1,5,12,0,190,120
99,"female",32,1986,"other","no","Other",12,1,1,44.69,44,0,4,"none","no","yes","no",2,4,NA,92.89,2,6,3,NA,0,120
100,"female",60,1958,"White","no","White",4,1,2,38.1,39,3,2,"moderate","no","no","yes",5,4,NA,92.79,1,1,2,NA,0,80
101,"male",48,1970,"other","no","Other",12,1,3,65.1,59,0,2,"moderate","no",NA,"no",5,6,1,NA,1,0,9,3,190,120
102,"female",81,1937,"other","no","Other",12,1,3,46.6,69,2,5,"none","no",NA,"yes",2,2,2,NA,1,3,6,3,0,20
103,"male",50,1968,"other","yes","Latinx",18,0,1,83.8,60,0,6,"liberal","no","yes","no",3,2,NA,68.8,4,5,12,NA,230,130
104,"female",78,1940,"White","no","White",14,2,1,73.9,53,0,2,"moderate","no","no","yes",5,5,NA,80.99,2,4,5,NA,0,120
105,"male",56,1962,"White","no","White",18,0,4,81,63,3,3,"liberal","no","yes","no",1,1,4,49.99,3,1,0,7,200,120
106,"male",60,1958,"White","no","White",14,0,4,38.2,32,7,2,"moderate","no",NA,"no",5,5,2,NA,1,0,12,1,220,120
107,"male",23,1995,"White","no","White",12,0,4,36.2,43,0,2,"moderate","no","no","yes",6,4,1,79.19,2,7,0,8,180,120
108,"female",67,1951,"White","no","White",12,0,4,59.8,46,0,2,"moderate","no","yes","no",4,4,NA,88.21,1,2,0,5,30,100
110,"female",62,1956,"White","no","White",14,2,1,50,45,6,2,"moderate","no","yes","no",4,3,3,79.53,2,1,0,6,0,120
111,"female",55,1963,"White","no","White",14,2,3,84.2,64,2,1,"moderate","yes","yes","yes",1,4,NA,90.31,1,4,8,NA,220,120
112,"female",56,1962,"White","no","White",12,1,1,38.8,47,3,2,"moderate","no","no","yes",2,6,2,NA,1,3,0,1,100,120
113,"male",58,1960,"White","no","White",14,0,4,27,38,0,6,"liberal","no","yes","no",1,1,3,88.18,1,4,0,7,0,120
114,"female",74,1944,"White","no","White",12,1,3,39.7,31,0,2,"moderate","no","no","yes",2,4,2,NA,1,0,0,0,0,90
115,"male",70,1948,"White","no","White",16,3,1,55.3,31,2,1,"moderate","no","yes","no",2,3,4,81.41,3,5,0,2,240,130
116,"male",35,1983,"White","no","White",17,2,1,69.3,53,1,2,"moderate","no",NA,"yes",4,5,3,NA,1,1,10,2,0,110
117,"male",65,1953,"AfricanAmerican","no","AfricanAmerican",8,2,1,68.6,50,0,6,"liberal","no","yes","yes",2,4,2,70.48,1,2,0,4,0,120
118,"female",42,1976,"White","no","White",14,2,1,67.8,52,0,6,"liberal","yes","yes","yes",4,4,NA,70.95,2,2,12,NA,0,120
119,"female",48,1970,"White","no","White",13,2,1,24.6,36,5,2,"moderate","no","yes","yes",6,5,NA,79.95,2,2,12,NA,100,120
120,"male",32,1986,"White","no","White",13,0,4,28.7,44,0,2,"moderate","no",NA,"yes",5,4,1,NA,1,0,6,4,180,120
121,"female",56,1962,"White","no","White",12,3,1,25.7,38,0,6,"liberal","yes","no","yes",5,6,NA,77.1,3,1,10,NA,0,120
122,"female",61,1957,"White","no","White",12,2,1,69.3,53,7,2,"moderate","yes",NA,"yes",4,7,3,NA,1,1,8,3,180,120
123,"female",76,1942,"White","no","White",16,2,2,40.4,31,3,1,"liberal","no","yes","no",1,1,NA,80.14,3,4,12,NA,90,120
124,"female",59,1959,"White","no","White",16,2,1,26.1,48,3,1,"moderate","no","yes","yes",3,5,NA,72.44,3,3,4,NA,160,120
125,"male",69,1949,"White","no","White",16,0,4,56.9,49,0,1,"moderate","no",NA,"yes",1,2,2,NA,1,2,12,4,160,120
126,"male",48,1970,"other","no","Other",18,0,4,82.5,64,0,6,"liberal","no","no","yes",2,3,2,NA,1,2,0,2,220,120
127,"female",68,1950,"White","no","White",20,2,1,88.7,71,2,3,"liberal","no",NA,"yes",7,6,3,NA,1,1,7,2,210,120
128,"female",39,1979,"White","no","White",16,0,4,37.8,36,0,1,"moderate","no","yes","yes",2,3,NA,69.87,1,1,6,NA,0,10
129,"male",38,1980,"White","yes","Latinx",18,2,1,78.3,51,7,2,"moderate","no",NA,"yes",2,4,1,NA,1,0,9,1,180,120
130,"female",39,1979,"White","no","White",18,1,4,73.6,67,0,6,"liberal","no","yes","no",1,2,NA,76.52,2,2,8,NA,250,120
131,"female",52,1966,"White","yes","Latinx",12,4,1,53.76,48,8,1,"fundamentalist","no","no","no",4,4,2,82.23,3,4,0,0,0,120
132,"female",41,1977,"White","no","White",20,1,1,92.1,72,0,6,"liberal","no",NA,"no",2,1,2,NA,1,1,9,1,0,120
133,"male",60,1958,"White","no","White",17,3,1,84,73,0,6,"liberal","no","yes","no",1,2,3,NA,1,6,0,0,240,130
134,"male",69,1949,"White","no","White",15,2,1,77.4,72,7,1,"liberal","yes","no","no",1,2,NA,70.55,5,0,12,NA,250,130
135,"male",60,1958,"White","no","White",13,0,1,60.3,52,0,5,"none","no","yes","no",1,2,3,67.68,2,2,0,2,230,130
136,"female",22,1996,"other","yes","Latinx",12,0,4,25.7,38,3,2,"moderate","no","yes","no",4,3,4,NA,1,4,0,0,0,120
137,"male",33,1985,"other","yes","Latinx",16,0,4,62,45,2,6,"liberal","no",NA,"yes",4,4,2,NA,1,1,9,2,80,120
138,"female",35,1983,"other","no","Other",16,0,1,23.8,25,0,6,"liberal","no","yes","yes",4,5,NA,68.69,1,7,6,NA,180,120
139,"female",38,1980,"White","yes","Latinx",12,2,1,14.8,22,4,2,"moderate","no","no","no",3,4,3,81.9,2,2,0,1,80,120
140,"female",25,1993,"White","yes","Latinx",15,0,4,82.5,64,0,6,"liberal","no",NA,"yes",5,4,4,NA,1,0,8,3,90,120
141,"male",55,1963,"White","no","White",14,2,3,36.4,44,1,6,"liberal","yes","no","yes",7,6,NA,57.98,1,0,12,NA,180,120
142,"male",34,1984,"White","no","White",17,0,1,60.5,61,7,1,"liberal","no","yes","no",2,2,3,70.81,4,2,0,2,80,110
144,"male",18,2000,"AfricanAmerican","no","AfricanAmerican",12,0,4,34.13,37,7,1,"moderate","no","no","no",4,4,2,NA,1,0,0,4,0,100
145,"male",56,1962,"other","yes","Latinx",12,3,3,65.1,59,5,2,"moderate","no","yes","yes",1,3,2,80.71,1,4,0,1,200,120
146,"male",19,1999,"AfricanAmerican","no","AfricanAmerican",12,0,4,13.6,33,2,1,"moderate","no",NA,"yes",5,6,2,NA,1,0,12,0,0,120
147,"male",34,1984,"AfricanAmerican","no","AfricanAmerican",12,0,4,23.8,25,4,1,"moderate","no","yes","no",2,4,4,NA,1,0,0,1,200,120
148,"female",26,1992,"AfricanAmerican","yes","Latinx",17,0,4,60.3,52,3,2,"moderate","no","yes","no",4,4,2,69.97,2,0,0,3,100,90
149,"male",28,1990,"White","no","White",14,0,4,29.5,40,0,6,"liberal","yes",NA,"yes",4,4,1,NA,1,0,10,0,0,120
150,"female",59,1959,"White","yes","Latinx",19,2,3,88.7,71,0,3,"liberal","no","yes","no",1,2,4,78.71,1,2,0,2,220,120
151,"female",39,1979,"AfricanAmerican","no","AfricanAmerican",16,0,4,65.3,47,4,1,"moderate","yes","yes","no",3,4,NA,71.77,4,2,7,NA,200,120
152,"female",77,1941,"AfricanAmerican","no","AfricanAmerican",13,4,3,41.15,42,8,1,"fundamentalist","no","no","no",1,6,NA,71.96,1,1,0,NA,0,40
153,"female",35,1983,"AfricanAmerican","no","AfricanAmerican",12,1,4,24.2,48,0,1,"fundamentalist","no","no","yes",4,5,2,68.23,1,3,0,5,0,40
154,"female",46,1972,"other","no","Other",16,4,3,71.8,64,0,2,"moderate","no","no","no",4,4,NA,59.92,1,4,9,NA,120,120
155,"male",57,1961,"other","yes","Latinx",8,0,4,24.2,48,2,2,"moderate","no","yes","yes",6,4,3,59.96,2,6,0,2,180,20
156,"female",35,1983,"other","yes","Latinx",11,4,1,20.7,24,0,6,"liberal","no","no","no",2,4,NA,71.79,1,0,4,NA,20,90
157,"female",58,1960,"White","yes","Latinx",12,4,3,55.3,31,6,1,"fundamentalist","no",NA,"no",6,5,2,NA,1,4,3,2,150,120
158,"female",20,1998,"other","yes","Latinx",14,0,4,80.9,61,7,2,"moderate","no",NA,"no",4,4,1,NA,1,0,11,1,60,120
159,"female",48,1970,"other","yes","Latinx",7,5,1,13.2,32,8,2,"moderate","no","no","no",3,4,2,79.45,5,1,0,1,70,100
160,"female",51,1967,"White","yes","Latinx",2,3,3,25,35,6,2,"moderate","no",NA,"yes",4,4,3,NA,1,3,3,0,100,90
161,"female",18,2000,"other","yes","Latinx",11,0,4,37.67,41,0,6,"liberal","no","yes","no",1,2,NA,77.38,5,8,11,NA,0,100
162,"female",18,2000,"White","yes","Latinx",12,0,4,43.92,44,0,6,"liberal","no","yes","yes",2,2,2,NA,1,4,0,4,0,120
163,"female",41,1977,"other","yes","Latinx",12,2,1,39.2,38,0,6,"liberal","no",NA,"yes",2,4,3,NA,1,0,7,2,170,120
164,"female",51,1967,"other","yes","Latinx",15,2,1,17.1,24,4,2,"moderate","no","no","no",2,4,NA,66.86,2,1,6,NA,0,50
165,"female",41,1977,"White","yes","Latinx",6,4,1,52.17,46,2,2,"moderate","no",NA,"yes",4,4,2,NA,1,0,4,3,0,30
166,"female",71,1947,"White","no","White",13,1,4,31.6,35,0,6,"liberal","no","no","no",3,2,NA,NA,1,2,0,0,0,100
167,"male",43,1975,"White","yes","Latinx",9,0,4,28.7,44,0,6,"liberal","no","yes","yes",2,4,NA,76.79,1,7,5,NA,0,120
168,"male",53,1965,"other","no","Other",16,0,4,14.6,24,7,2,"moderate","no",NA,"no",4,2,4,NA,1,0,12,7,60,100
169,"male",46,1972,"White","no","White",18,0,4,42.8,38,2,6,"liberal","no","no","yes",2,3,NA,52.05,1,4,10,NA,190,120
170,"male",36,1982,"White","yes","Latinx",13,3,1,39.7,31,3,1,"moderate","no",NA,"yes",1,3,2,NA,1,2,12,3,190,120
171,"male",19,1999,"White","yes","Latinx",12,0,4,20.7,24,0,6,"liberal","no","no","yes",5,5,NA,59.05,2,2,11,NA,70,120
172,"male",65,1953,"other","yes","Latinx",14,1,1,38.8,45,8,2,"moderate","no","no","no",3,2,4,83.83,3,3,0,2,150,120
173,"female",60,1958,"White","yes","Latinx",13,0,3,54.6,41,3,1,"fundamentalist","no","no","no",7,4,NA,59.11,2,0,11,NA,180,120
174,"female",63,1955,"White","no","White",16,0,4,62.1,49,4,3,"liberal","no","no","yes",1,6,4,NA,1,5,0,2,0,100
175,"male",36,1982,"White","no","White",20,2,1,92.1,72,0,3,"liberal","no","yes","no",1,2,NA,91.43,1,1,8,NA,260,130
176,"female",40,1978,"other","no","Other",16,2,1,56.9,49,0,5,"none","no","yes","no",4,6,2,76.12,1,6,0,1,0,120
177,"female",42,1976,"White","no","White",18,3,1,77.4,72,2,3,"liberal","no",NA,"no",1,1,3,NA,1,0,7,1,250,130
178,"male",61,1957,"White","no","White",14,0,3,59.8,46,7,5,"none","yes","yes","no",5,4,NA,74.39,4,1,12,NA,240,120
179,"male",27,1991,"other","no","Other",16,0,4,76.3,60,0,6,"liberal","no","yes","yes",2,3,2,NA,1,2,0,0,210,120
180,"male",52,1966,"White","no","White",14,1,4,25.2,28,4,1,"moderate","no",NA,"yes",4,4,3,NA,1,0,6,3,0,90
181,"female",36,1982,"AfricanAmerican","no","AfricanAmerican",12,0,4,23.8,25,8,6,"liberal","no","no","no",4,4,NA,59.03,2,9,0,NA,0,90
182,"female",74,1944,"White","no","White",16,4,3,57.5,48,0,1,"none","no","yes","yes",3,2,2,55.19,2,6,0,1,0,90
183,"male",36,1982,"White","yes","Latinx",20,0,4,91.1,69,0,6,"liberal","no",NA,"no",1,2,3,NA,1,0,12,1,200,120
184,"male",34,1984,"White","yes","Latinx",17,0,4,76.3,60,4,1,"moderate","no","yes","no",1,4,2,NA,1,6,0,2,210,120
185,"male",46,1972,"other","no","Other",16,1,3,57.8,47,0,6,"liberal","no",NA,"no",3,4,4,NA,1,0,4,3,240,120
186,"female",21,1997,"White","no","White",14,0,4,19.6,31,0,6,"liberal","no","yes","no",1,2,NA,95.69,3,3,10,NA,20,120
187,"female",72,1946,"White","yes","Latinx",11,3,3,38.1,39,1,2,"moderate","no","no","no",3,4,4,NA,1,0,0,7,220,120
188,"male",46,1972,"other","no","Other",16,2,1,80.7,65,5,2,"moderate","no",NA,"no",2,3,2,NA,1,1,7,2,220,120
189,"female",21,1997,"White","no","White",14,0,4,30.3,18,0,6,"liberal","no","yes","yes",4,4,NA,77.29,2,2,10,NA,80,100
190,"male",46,1972,"other","yes","Latinx",13,1,4,21.6,34,0,2,"moderate","no","yes","yes",5,6,1,NA,1,7,0,1,200,120
191,"male",53,1965,"other","no","Other",12,3,3,37.2,49,6,1,"moderate","yes","yes","yes",7,4,NA,80.38,3,6,10,NA,230,120
192,"female",74,1944,"White","no","White",18,4,2,80.9,61,7,1,"fundamentalist","no","yes","yes",6,6,NA,72.02,4,4,8,NA,0,110
193,"male",70,1948,"White","yes","Latinx",6,1,3,49.29,46,3,2,"moderate","no","no","yes",3,4,NA,NA,1,7,0,2,0,10
194,"female",36,1982,"other","yes","Latinx",16,1,1,51.6,47,5,1,"moderate","no",NA,"no",5,4,4,NA,1,0,10,0,190,120
195,"male",57,1961,"White","no","White",11,1,1,36.2,43,2,6,"liberal","no","no","yes",7,7,4,89.55,2,4,0,8,0,100
196,"male",60,1958,"White","no","White",16,0,4,57.5,48,7,1,"fundamentalist","no",NA,"yes",5,6,1,NA,1,0,12,2,220,120
197,"female",53,1965,"other","yes","Latinx",12,3,3,24.8,22,3,2,"moderate","no","no","yes",7,7,2,NA,1,0,0,3,140,120
198,"male",69,1949,"White","yes","Latinx",12,4,1,18.6,37,2,6,"liberal","yes",NA,"no",2,3,2,NA,1,0,5,3,140,120
