neighid,male,dadeduc,momeduc,socialcapital,familywealth,deprive
121,male,no,no,6.9720001,2.4151001,.092
122,female,no,yes,8.9720001,.56099999,.36300001
122,female,no,yes,1.972,.029300001,.36300001
122,female,no,no,-3.0280001,.26409999,.36300001
123,female,yes,yes,1.972,.73500001,.12
123,female,yes,yes,-2.0280001,-.36000001,.12
123,male,no,no,-16.028,-1.3276,.12
123,male,no,no,-1.028,1.1404999,.12
123,female,yes,yes,-6.0279999,-.5812,.12
124,male,no,no,-.028000001,.029300001,.30500001
125,female,no,no,-11.028,-1.3276,-.21600001
125,male,no,no,4.9720001,.9127,-.21600001
125,male,no,no,-12.028,-1.3276,-.21600001
126,male,no,no,-13.028,-1.3276,.154
126,female,no,no,-7.0279999,1.1404999,.154
126,male,no,no,-13.028,-.5812,.154
126,male,no,no,.972,.029300001,.154
126,female,no,no,2.9719999,-1.3276,.154
126,male,no,no,-8.0279999,-1.3276,.154
126,male,yes,no,.972,1.5177,.154
127,female,no,no,-.028000001,-.5812,-.189
127,male,no,no,-15.028,-1.3276,-.189
127,male,no,no,-12.028,-1.3276,-.189
128,male,no,yes,-5.0279999,-.13249999,-.44100001
128,female,no,yes,1.972,1.5177,-.44100001
128,female,yes,yes,-.028000001,.1582,-.44100001
128,female,no,no,-10.028,.73500001,-.44100001
128,male,no,no,-4.0279999,-1.3276,-.44100001
128,male,no,no,-9.0279999,-.5812,-.44100001
130,male,no,no,18.972,1.5177,-.54100001
130,female,yes,yes,-1.028,.56099999,-.54100001
130,male,no,no,-17.028,-1.3276,-.54100001
130,male,no,no,5.9720001,.029300001,-.54100001
130,female,no,yes,-.028000001,-.13249999,-.54100001
133,male,no,no,-20.028,-1.3276,.58099997
133,female,no,no,2.9719999,.56099999,.58099997
133,female,no,no,-6.0279999,-1.3276,.58099997
133,female,yes,yes,-4.0279999,-.13249999,.58099997
134,male,no,no,.972,.1582,-.056000002
135,female,no,no,-4.0279999,-.36000001,.60100001
135,male,no,no,-22.028,-1.3276,.60100001
136,male,no,no,-.028000001,-1.3276,.28
136,female,no,no,-14.028,-1.3276,.28
136,female,no,no,-13.028,-1.3276,.28
137,male,no,no,-20.028,.029300001,.458
137,female,yes,yes,-7.0279999,-1.3276,.458
137,female,no,no,-8.0279999,-1.3276,.458
138,female,no,no,-1.028,.029300001,.237
139,female,yes,no,-10.028,.56099999,-.168
139,female,no,no,-4.0279999,.3917,-.168
139,female,no,no,-6.0279999,.029300001,-.168
139,male,no,no,-2.0280001,-.13249999,-.168
139,female,no,no,-8.0279999,-.36000001,-.168
139,female,yes,yes,4.9720001,1.1404999,-.168
139,male,no,no,-4.0279999,.26409999,-.168
139,male,no,no,-15.028,-1.3276,-.168
140,male,yes,yes,-8.0279999,.029300001,.528
140,female,no,no,23.972,1.1404999,.528
140,male,no,no,-21.028,-1.3276,.528
140,male,no,no,-9.0279999,-1.3276,.528
140,female,no,no,-7.0279999,-.36000001,.528
140,male,no,no,-4.0279999,.029300001,.528
140,male,no,no,-10.028,-1.3276,.528
140,male,no,no,-11.028,-.36000001,.528
143,female,no,yes,13.972,2.4151001,-.39500001
143,male,no,no,-1.028,-.13249999,-.39500001
144,male,no,no,-20.028,-1.3276,.221
144,female,yes,yes,-3.0280001,-.13249999,.221
144,male,no,no,-17.028,-1.3276,.221
144,male,no,no,-7.0279999,1.5177,.221
144,female,no,no,6.9720001,.1582,.221
144,female,no,no,-10.028,-1.3276,.221
145,male,yes,yes,-5.0279999,-.36000001,.34
145,male,no,yes,.972,.9127,.34
145,female,yes,yes,-9.0279999,-1.3276,.34
145,male,no,no,-7.0279999,-1.3276,.34
145,male,no,no,7.9720001,-.13249999,.34
145,female,no,no,7.9720001,.029300001,.34
145,female,no,no,7.9720001,1.1404999,.34
146,male,no,no,15.972,1.5177,-.046999998
146,male,yes,yes,-11.028,-.5812,-.046999998
147,female,no,yes,-.028000001,.9127,-.226
147,male,no,no,8.9720001,.9127,-.226
148,male,no,no,-4.0279999,-.13249999,-.56
148,female,no,no,-11.028,.56099999,-.56
148,female,no,no,5.9720001,.56099999,-.56
148,male,no,yes,.972,1.5177,-.56
148,male,no,no,1.972,.029300001,-.56
148,female,yes,no,10.972,.26409999,-.56
148,male,no,no,8.9720001,1.5177,-.56
149,male,yes,no,11.972,.9127,-.198
149,male,no,no,11.972,.73500001,-.198
149,male,yes,no,8.9720001,.3917,-.198
149,female,no,no,-11.028,.56099999,-.198
150,male,yes,yes,-18.028,-1.3276,-.39700001
150,male,no,no,9.9720001,.3917,-.39700001
150,male,no,no,-9.0279999,.26409999,-.39700001
150,male,yes,no,1.972,.56099999,-.39700001
151,male,no,no,-2.0280001,.73500001,-.903
151,female,yes,yes,9.9720001,.73500001,-.903
151,male,no,no,3.9719999,1.1404999,-.903
151,female,yes,no,-5.0279999,.73500001,-.903
151,male,no,no,-12.028,1.5177,-.903
151,male,no,no,3.9719999,.3917,-.903
152,male,no,no,2.9719999,-.36000001,-.176
152,male,no,no,-5.0279999,-1.3276,-.176
152,female,no,yes,-11.028,-1.3276,-.176
152,female,no,no,12.972,.3917,-.176
152,female,no,no,-2.0280001,.26409999,-.176
152,male,no,no,-3.0280001,-1.3276,-.176
152,male,no,no,-18.028,-.36000001,-.176
153,female,no,no,4.9720001,-.13249999,.043000001
153,female,no,no,4.9720001,1.1404999,.043000001
153,male,no,no,-8.0279999,-.5812,.043000001
153,female,no,no,-5.0279999,.9127,.043000001
153,male,no,no,-7.0279999,-.13249999,.043000001
153,female,no,no,10.972,.9127,.043000001
153,male,no,no,6.9720001,.73500001,.043000001
153,male,no,no,1.972,1.1404999,.043000001
153,male,yes,no,4.9720001,.56099999,.043000001
154,female,no,no,.972,-1.3276,1.054
154,female,no,no,-10.028,.029300001,1.054
154,female,no,yes,-2.0280001,-.36000001,1.054
155,male,no,no,17.972,.029300001,-.104
155,female,yes,yes,4.9720001,.029300001,-.104
155,female,no,no,-13.028,-1.3276,-.104
155,female,no,no,-1.028,-.36000001,-.104
155,male,no,no,-3.0280001,-1.3276,-.104
155,female,no,no,-3.0280001,-1.3276,-.104
155,male,yes,no,4.9720001,.9127,-.104
156,female,no,yes,13.972,-.36000001,1.729
157,female,no,no,-21.028,-1.3276,.17200001
157,male,no,no,-15.028,-1.3276,.17200001
157,female,yes,yes,-14.028,-1.3276,.17200001
158,male,no,yes,-10.028,-1.3276,.58899999
158,female,no,no,-.028000001,.1582,.58899999
166,male,no,no,-5.0279999,-.36000001,-.66000003
168,male,no,no,-1.028,.3917,-.42699999
168,female,no,no,8.9720001,-1.3276,-.42699999
168,female,no,no,-15.028,-1.3276,-.42699999
168,female,no,yes,22.972,.9127,-.42699999
169,female,no,yes,-.028000001,-.36000001,.056000002
169,male,yes,yes,-4.0279999,-.13249999,.056000002
169,male,no,no,-1.028,.1582,.056000002
169,female,yes,yes,8.9720001,.73500001,.056000002
169,female,no,no,12.972,-.13249999,.056000002
169,female,no,no,12.972,2.4151001,.056000002
169,female,yes,yes,1.972,-.36000001,.056000002
169,female,yes,no,-2.0280001,-.36000001,.056000002
169,female,no,no,6.9720001,.3917,.056000002
170,male,yes,no,-4.0279999,-.13249999,-.229
170,female,no,no,-7.0279999,-.36000001,-.229
171,female,no,yes,.972,-1.3276,.18799999
171,male,no,no,-2.0280001,-1.3276,.18799999
171,female,no,no,8.9720001,.1582,.18799999
171,male,no,yes,-27.028,-1.3276,.18799999
171,male,no,no,12.972,.3917,.18799999
171,male,no,no,6.9720001,.1582,.18799999
171,male,yes,yes,-3.0280001,-.36000001,.18799999
172,female,no,no,5.9720001,1.5177,-.25999999
172,female,no,no,9.9720001,-.13249999,-.25999999
174,female,no,yes,13.972,2.4151001,.23899999
174,female,no,no,.972,.9127,.23899999
174,female,no,yes,-1.028,1.5177,.23899999
174,female,no,no,4.9720001,.9127,.23899999
174,female,no,no,7.9720001,.56099999,.23899999
174,male,no,no,1.972,.3917,.23899999
174,male,no,no,12.972,.3917,.23899999
175,male,no,yes,-.028000001,.3917,.016000001
175,male,no,no,.972,-.13249999,.016000001
175,male,no,no,-9.0279999,-1.3276,.016000001
175,male,no,no,1.972,.029300001,.016000001
175,male,no,no,15.972,.3917,.016000001
176,female,no,yes,15.972,1.1404999,-.31600001
176,female,no,yes,-6.0279999,-.5812,-.31600001
176,female,no,no,10.972,1.1404999,-.31600001
176,female,no,no,-5.0279999,-1.3276,-.31600001
176,female,no,no,-9.0279999,.029300001,-.31600001
177,male,no,no,3.9719999,.26409999,-.46799999
177,female,no,no,-4.0279999,-1.3276,-.46799999
177,female,no,no,4.9720001,.26409999,-.46799999
177,female,no,no,8.9720001,.029300001,-.46799999
177,female,no,no,11.972,.73500001,-.46799999
177,male,yes,no,4.9720001,.1582,-.46799999
178,male,no,no,1.972,.3917,-.27599999
178,male,no,no,3.9719999,.1582,-.27599999
178,male,yes,yes,10.972,.73500001,-.27599999
178,female,no,no,3.9719999,.26409999,-.27599999
178,female,yes,no,32.972,2.4151001,-.27599999
179,female,no,no,-5.0279999,.3917,-.25099999
179,male,no,no,1.972,-.5812,-.25099999
179,male,no,no,11.972,1.5177,-.25099999
179,male,no,no,-1.028,.1582,-.25099999
179,male,no,no,.972,.3917,-.25099999
180,female,no,no,14.972,1.5177,-.15099999
180,female,no,no,1.972,.3917,-.15099999
180,male,no,no,-1.028,.9127,-.15099999
181,female,no,no,-8.0279999,-1.3276,.22
181,female,no,no,12.972,-1.3276,.22
181,male,no,no,-.028000001,.9127,.22
181,female,no,no,16.972,.9127,.22
181,female,no,no,8.9720001,.1582,.22
181,female,no,no,-4.0279999,-.5812,.22
181,male,yes,yes,-10.028,-1.3276,.22
181,male,no,no,-9.0279999,-1.3276,.22
182,male,no,no,-1.028,.56099999,.057
182,male,no,no,-6.0279999,-1.3276,.057
182,female,no,no,-7.0279999,-1.3276,.057
183,male,no,no,-2.0280001,.3917,-.026000001
184,female,no,no,11.972,.029300001,.046
184,male,no,yes,-1.028,-1.3276,.046
184,female,no,no,3.9719999,.029300001,.046
184,female,yes,yes,-10.028,-1.3276,.046
184,male,no,no,-4.0279999,-.5812,.046
184,female,no,no,5.9720001,-.13249999,.046
185,female,no,no,-9.0279999,-1.3276,-.38800001
185,male,no,no,1.972,.3917,-.38800001
186,female,no,no,1.972,-.5812,-.53600001
186,male,yes,yes,-6.0279999,-1.3276,-.53600001
186,male,no,no,-13.028,-1.3276,-.53600001
187,male,no,no,2.9719999,.3917,-.093000002
187,female,yes,no,10.972,2.4151001,-.093000002
187,female,no,no,33.972,.9127,-.093000002
187,male,no,no,-14.028,-1.3276,-.093000002
187,female,no,no,3.9719999,-.5812,-.093000002
188,female,no,no,-2.0280001,-1.3276,-.015
188,female,no,no,-13.028,-1.3276,-.015
188,male,no,no,-.028000001,-.5812,-.015
188,female,yes,no,10.972,.73500001,-.015
189,female,yes,yes,9.9720001,.3917,-.51899999
189,female,no,no,-14.028,-1.3276,-.51899999
190,female,yes,no,-19.028,-.13249999,-.37
190,male,no,no,5.9720001,-.5812,-.37
190,male,no,no,3.9719999,.029300001,-.37
190,female,yes,no,1.972,.3917,-.37
190,male,no,no,-4.0279999,-1.3276,-.37
190,female,no,no,-4.0279999,-1.3276,-.37
190,female,no,no,7.9720001,1.1404999,-.37
191,male,no,no,8.9720001,-.36000001,-.67699999
191,male,no,yes,-9.0279999,-1.3276,-.67699999
191,male,no,no,-16.028,-1.3276,-.67699999
192,female,no,no,-4.0279999,-.5812,-.086999997
192,male,yes,yes,9.9720001,.56099999,-.086999997
192,male,no,yes,-21.028,-1.3276,-.086999997
192,female,no,no,-18.028,-1.3276,-.086999997
192,female,no,yes,6.9720001,.3917,-.086999997
193,female,no,no,-3.0280001,-1.3276,.77700001
193,female,no,no,-20.028,-.5812,.77700001
193,male,yes,no,-.028000001,-.36000001,.77700001
193,female,yes,yes,10.972,2.4151001,.77700001
194,male,no,no,-4.0279999,-.36000001,-.45899999
194,male,yes,yes,-3.0280001,.26409999,-.45899999
194,male,no,yes,12.972,.9127,-.45899999
194,male,yes,no,2.9719999,2.4151001,-.45899999
195,female,no,no,-7.0279999,-.36000001,1.5700001
195,female,yes,yes,-6.0279999,-.13249999,1.5700001
195,male,no,yes,-22.028,-1.3276,1.5700001
195,male,no,no,-10.028,-1.3276,1.5700001
195,male,no,no,-27.028,-1.3276,1.5700001
195,female,no,no,-14.028,-1.3276,1.5700001
195,female,no,no,9.9720001,.26409999,1.5700001
195,male,no,no,2.9719999,.3917,1.5700001
195,female,no,no,-3.0280001,-1.3276,1.5700001
197,male,yes,yes,-7.0279999,-1.3276,.29699999
197,female,no,no,4.9720001,.3917,.29699999
197,male,no,yes,4.9720001,-.36000001,.29699999
197,male,no,yes,4.9720001,.73500001,.29699999
197,female,no,no,16.972,1.1404999,.29699999
198,male,no,no,-9.0279999,-1.3276,.60299999
198,male,no,no,-6.0279999,.26409999,.60299999
198,female,yes,no,7.9720001,-.13249999,.60299999
198,female,no,no,6.9720001,.1582,.60299999
199,male,no,no,6.9720001,.3917,.48500001
199,female,no,no,-5.0279999,.029300001,.48500001
199,male,no,no,3.9719999,.029300001,.48500001
199,male,yes,yes,14.972,.3917,.48500001
199,male,no,no,-7.0279999,-.36000001,.48500001
199,female,no,no,17.972,-.13249999,.48500001
199,female,no,no,.972,-1.3276,.48500001
200,male,no,yes,2.9719999,-.13249999,-.030999999
210,male,no,no,2.9719999,2.4151001,-.51899999
210,female,no,no,24.972,.029300001,-.51899999
210,female,yes,no,13.972,.73500001,-.51899999
210,male,no,yes,16.972,2.4151001,-.51899999
210,female,no,yes,-6.0279999,-.13249999,-.51899999
210,male,no,no,.972,-.36000001,-.51899999
211,male,no,no,2.9719999,.029300001,-.15800001
211,female,yes,no,3.9719999,-.36000001,-.15800001
212,female,no,no,3.9719999,.029300001,.15000001
212,male,no,no,3.9719999,-.36000001,.15000001
212,male,yes,yes,13.972,.9127,.15000001
213,female,no,no,-1.028,-.13249999,-.219
215,female,no,no,1.972,-1.3276,-.41
215,female,yes,no,14.972,1.1404999,-.41
216,male,yes,yes,5.9720001,.9127,-.63800001
216,female,yes,no,21.972,.56099999,-.63800001
216,male,no,yes,-10.028,-.36000001,-.63800001
216,male,yes,yes,11.972,1.5177,-.63800001
216,female,no,no,9.9720001,.73500001,-.63800001
216,female,yes,yes,11.972,.3917,-.63800001
216,male,yes,yes,22.972,1.5177,-.63800001
216,female,yes,yes,8.9720001,.73500001,-.63800001
216,female,no,no,-.028000001,.3917,-.63800001
216,female,yes,no,-3.0280001,1.1404999,-.63800001
216,male,no,no,-.028000001,1.1404999,-.63800001
216,male,no,no,26.972,2.4151001,-.63800001
217,male,no,no,6.9720001,.9127,-.463
217,male,no,no,2.9719999,-1.3276,-.463
217,female,no,no,-8.0279999,-.5812,-.463
217,male,no,no,6.9720001,.3917,-.463
217,female,no,no,13.972,.1582,-.463
217,female,no,yes,11.972,-.36000001,-.463
218,male,no,no,-21.028,-1.3276,.88099998
218,male,yes,no,15.972,-1.3276,.88099998
218,male,no,no,-1.028,-.36000001,.88099998
218,male,no,yes,.972,1.1404999,.88099998
218,female,no,no,-5.0279999,-1.3276,.88099998
218,female,no,no,-14.028,-.36000001,.88099998
218,female,no,no,11.972,.56099999,.88099998
219,male,no,yes,-2.0280001,-1.3276,.52399999
219,female,no,no,-2.0280001,.1582,.52399999
219,male,no,no,7.9720001,.9127,.52399999
220,male,no,no,.972,.029300001,-.109
220,male,no,no,10.972,.26409999,-.109
220,female,no,no,-.028000001,-1.3276,-.109
220,male,no,no,-16.028,-.36000001,-.109
220,female,no,no,17.972,.73500001,-.109
220,female,no,no,-14.028,.029300001,-.109
221,female,yes,yes,3.9719999,-.5812,.228
221,female,no,no,-8.0279999,-.36000001,.228
221,female,no,no,-14.028,-.13249999,.228
222,male,no,no,4.9720001,.3917,-.13500001
222,male,no,no,-2.0280001,1.1404999,-.13500001
222,male,no,no,6.9720001,.73500001,-.13500001
223,female,no,no,-.028000001,-.13249999,-.296
223,female,no,no,-.028000001,.56099999,-.296
223,male,no,no,-2.0280001,.029300001,-.296
224,male,no,yes,-3.0280001,-.5812,.168
224,female,no,no,-18.028,-1.3276,.168
224,female,yes,yes,7.9720001,.029300001,.168
224,male,no,no,9.9720001,.26409999,.168
224,male,no,no,-3.0280001,-.13249999,.168
224,male,no,no,14.972,2.4151001,.168
225,female,no,no,12.972,.9127,1.3710001
226,male,no,no,-.028000001,-.36000001,.0020000001
226,female,no,no,-5.0279999,-.13249999,.0020000001
226,male,no,no,-1.028,-.13249999,.0020000001
226,female,no,no,-18.028,-1.3276,.0020000001
226,male,no,no,17.972,.26409999,.0020000001
227,male,yes,no,14.972,.73500001,-.43599999
227,female,no,yes,-.028000001,.9127,-.43599999
227,female,no,yes,-5.0279999,-.36000001,-.43599999
227,male,no,yes,21.972,2.4151001,-.43599999
227,female,yes,no,10.972,.56099999,-.43599999
227,female,no,no,13.972,.56099999,-.43599999
228,male,no,yes,-2.0280001,1.5177,-.486
229,male,no,yes,-9.0279999,-1.3276,-.242
229,female,no,no,-2.0280001,-1.3276,-.242
229,male,yes,yes,25.972,.73500001,-.242
229,female,no,no,5.9720001,1.1404999,-.242
229,female,no,no,8.9720001,.73500001,-.242
229,male,no,no,-.028000001,.56099999,-.242
229,male,no,yes,8.9720001,.1582,-.242
229,male,no,yes,-6.0279999,-.36000001,-.242
229,male,no,no,4.9720001,.73500001,-.242
229,male,no,no,.972,.56099999,-.242
229,male,no,no,-2.0280001,.3917,-.242
229,female,no,no,-7.0279999,-1.3276,-.242
230,male,no,no,-2.0280001,.26409999,-.222
230,female,yes,yes,8.9720001,1.5177,-.222
230,female,no,no,9.9720001,.73500001,-.222
230,male,no,no,14.972,.3917,-.222
230,female,no,no,-3.0280001,-.13249999,-.222
230,female,no,no,3.9719999,.73500001,-.222
230,female,no,yes,7.9720001,1.1404999,-.222
231,male,no,no,.972,.1582,-.07
231,male,no,no,-14.028,-1.3276,-.07
231,female,no,no,4.9720001,-.5812,-.07
231,male,no,no,2.9719999,.26409999,-.07
231,female,no,no,-1.028,-.5812,-.07
231,male,no,no,-9.0279999,.1582,-.07
232,female,no,no,2.9719999,-.13249999,.44800001
232,female,no,no,-4.0279999,-.5812,.44800001
232,male,no,no,-1.028,.3917,.44800001
232,female,yes,yes,10.972,.26409999,.44800001
233,male,no,no,3.9719999,-.5812,.039999999
233,female,no,no,13.972,.3917,.039999999
233,female,no,no,23.972,.3917,.039999999
233,female,no,no,8.9720001,.9127,.039999999
234,male,no,no,9.9720001,.3917,.30199999
234,female,no,no,-7.0279999,-.36000001,.30199999
234,female,no,no,-7.0279999,-1.3276,.30199999
235,male,no,no,.972,.1582,1.132
235,female,no,yes,6.9720001,.3917,1.132
235,male,no,no,-20.028,-.36000001,1.132
235,female,no,no,1.972,-.13249999,1.132
236,female,no,no,-4.0279999,-.13249999,1.016
236,female,yes,yes,-.028000001,.029300001,1.016
236,female,no,no,.972,-.5812,1.016
237,male,no,no,.972,.26409999,1.14
237,male,no,no,-11.028,-1.3276,1.14
237,female,no,no,4.9720001,-.13249999,1.14
238,male,no,no,16.972,.9127,.685
238,male,no,no,-15.028,-.36000001,.685
239,female,no,no,3.9719999,-.36000001,1.0190001
239,female,no,no,-1.028,.1582,1.0190001
239,female,no,no,-.028000001,.029300001,1.0190001
239,male,no,no,9.9720001,.029300001,1.0190001
239,female,no,no,1.972,.73500001,1.0190001
240,male,no,no,-17.028,-.5812,.52899998
240,male,no,no,2.9719999,.029300001,.52899998
240,female,no,no,-6.0279999,-1.3276,.52899998
240,female,no,no,-7.0279999,-.5812,.52899998
241,female,no,no,5.9720001,.56099999,1.09
241,male,no,no,-19.028,-1.3276,1.09
241,female,no,no,-5.0279999,-1.3276,1.09
241,male,no,no,5.9720001,-1.3276,1.09
